status,from_store_number,to_store_number,sku,row_label,column_label,rics_qty,generated_qty,delta
extra_generated,2,6,901025ZHBHBK,,110,0,1,1
extra_generated,2,6,992BN,,075,0,1,1
extra_generated,2,6,MT9MRNWHBK,,080,0,1,1
missing_from_generated,2,6,PD322491BN,,080,1,0,-1
extra_generated,2,6,STRIPESBKLGY,,080,0,1,1
missing_from_generated,2,12,992BN,,075,1,0,-1
extra_generated,2,12,EVER614BK,,060,0,1,1
extra_generated,2,12,PD322491BN,,080,0,1,1
extra_generated,2,12,UH072GY,,070,0,1,1
extra_generated,2,28,YSZ100118BKPU,,070,0,1,1
extra_generated,5,12,Z006BK,,42,0,1,1
extra_generated,5,28,JK620BN,,42,0,1,1
missing_from_generated,6,2,995BN,,090,1,0,-1
missing_from_generated,6,12,7030KDNVRD,,060,1,0,-1
extra_generated,6,13,995BN,,090,0,1,1
extra_generated,6,14,042KDBL,,13,0,1,1
extra_generated,6,28,NEDLACEWH,,2,0,1,1
extra_generated,6,30,042KDBL,,12,0,1,1
extra_generated,6,30,042KDSBL,,1,0,1,1
extra_generated,6,30,2750WHT,,35,0,1,1
extra_generated,6,30,7030KDNVRD,,060,0,1,1
extra_generated,6,30,HIGHTOPWHRD,,080,0,1,1
missing_from_generated,12,2,9515KBL,,070,1,0,-1
extra_generated,12,6,2750GYWH,,41.5,0,1,1
extra_generated,12,6,9515KBL,,070,0,1,1
missing_from_generated,12,6,MT9MRNWHBK,,080,1,0,-1
missing_from_generated,12,6,STRIPESBKLGY,,080,1,0,-1
missing_from_generated,12,14,042KDBL,,13,1,0,-1
missing_from_generated,12,14,STRIPESBKLGY,,080,1,0,-1
missing_from_generated,12,28,NEDLACEWH,,2,1,0,-1
missing_from_generated,12,30,042KDBL,,12,1,0,-1
missing_from_generated,12,30,042KDSBL,,1,1,0,-1
missing_from_generated,12,30,2750WHT,,35,1,0,-1
extra_generated,12,30,STRIPESBKLGY,,080,0,1,1
missing_from_generated,13,12,EVER614BK,,060,1,0,-1
extra_generated,13,14,EVER614BK,,060,0,1,1
extra_generated,14,2,YSZWD0715W3BK,,085,0,1,1
missing_from_generated,14,6,2750GYWH,,41.5,1,0,-1
missing_from_generated,14,6,901025ZHBHBK,,110,1,0,-1
missing_from_generated,14,6,992BN,,075,1,0,-1
extra_generated,14,6,PD322491BN,,080,0,1,1
extra_generated,14,6,UH072GY,,070,0,1,1
extra_generated,14,12,7030KDNVRD,,060,0,1,1
extra_generated,14,12,992BN,,075,0,1,1
extra_generated,14,12,CLYDELACEWHNV,,2,0,1,1
missing_from_generated,14,12,PD322491BN,,080,1,0,-1
missing_from_generated,14,12,UH072GY,,070,1,0,-1
extra_generated,14,28,PIPERTRUMLINBK,,42.5,0,1,1
missing_from_generated,14,30,7030KDNVRD,,060,1,0,-1
missing_from_generated,14,30,HIGHTOPWHRD,,080,1,0,-1
extra_generated,28,2,9515KBL,,070,0,1,1
missing_from_generated,28,6,9515KBL,,070,1,0,-1
extra_generated,29,2,995BN,,090,0,1,1
missing_from_generated,29,2,YSZWD0715W3BK,,085,1,0,-1
missing_from_generated,29,13,995BN,,090,1,0,-1
missing_from_generated,29,14,EVER614BK,,060,1,0,-1
extra_generated,29,14,STRIPESBKLGY,,080,0,1,1
missing_from_generated,29,30,STRIPESBKLGY,,080,1,0,-1
missing_from_generated,30,6,UH072GY,,070,1,0,-1
missing_from_generated,30,12,CLYDELACEWHNV,,2,1,0,-1
missing_from_generated,30,12,Z006BK,,42,1,0,-1
missing_from_generated,30,28,JK620BN,,42,1,0,-1
missing_from_generated,30,28,PIPERTRUMLINBK,,42.5,1,0,-1
missing_from_generated,30,28,YSZ100118BKPU,,070,1,0,-1
